@relation 'SRS 70-weka.filters.unsupervised.attribute.Remove-R19'

@attribute battery_power numeric
@attribute blue {0,1}
@attribute clock_speed numeric
@attribute dual_sim {0,1}
@attribute fc numeric
@attribute four_g {0,1}
@attribute int_memory numeric
@attribute m_dep numeric
@attribute mobile_wt numeric
@attribute n_cores numeric
@attribute pc numeric
@attribute px_width numeric
@attribute ram numeric
@attribute sc_h numeric
@attribute talk_time numeric
@attribute touch_screen {0,1}
@attribute wifi {0,1}
@attribute price_category {0,1}

@data
914,1,0.9,0,2,0,4,0.8,100,2,12,1495,808,11,5,1,0,0
856,1,1.1,1,14,1,19,0.7,125,6,19,1931,650,17,10,0,1,0
1948,0,2.8,1,5,1,18,0.2,135,2,14,571,816,16,3,0,0,0
564,0,1.8,1,0,1,51,0.5,168,3,1,1980,1074,14,15,1,0,0
582,0,0.5,0,8,0,32,0.7,107,3,11,1702,2977,6,20,1,1,0
1663,1,2.5,1,13,1,27,0.3,169,4,14,1439,2084,7,18,0,0,0
797,1,1.5,1,4,0,18,0.6,81,8,20,1466,2052,9,14,1,1,0
689,0,2.9,1,3,1,7,0.8,147,2,6,722,1241,9,16,0,0,0
1753,0,0.7,0,4,0,40,0.6,191,4,11,1983,1112,8,15,1,1,0
1042,0,2.2,0,15,1,11,0.6,139,5,16,1018,2826,18,2,0,0,0
832,0,1.6,1,1,1,34,0.3,108,5,5,1294,447,15,12,1,0,0
1590,0,0.6,1,0,0,7,0.3,122,3,17,1595,1201,12,18,1,1,0
1201,1,0.5,0,1,1,10,0.4,198,6,5,1723,726,11,3,1,0,0
1527,0,2.7,0,10,1,60,0.1,154,5,14,1116,2078,5,11,1,1,0
841,1,0.5,1,8,0,39,0.1,199,6,13,828,2942,11,16,1,1,0
831,0,1.7,1,7,1,26,0.7,177,5,11,621,1704,6,20,1,1,0
769,1,1.2,0,2,0,17,0.1,95,8,4,1454,1877,18,11,0,1,0
660,0,0.5,0,5,1,40,0.5,111,2,10,1178,588,6,18,1,1,0
1791,1,0.5,1,1,1,33,0.5,110,5,4,682,594,17,16,0,1,0
1339,1,0.5,1,10,1,21,0.5,80,4,11,1441,867,8,3,1,0,0
1486,0,2.6,0,7,0,52,0.1,85,4,15,1747,297,13,15,1,0,0
1676,0,1.6,0,2,0,37,0.2,145,1,3,1197,2515,14,4,0,1,0
1991,1,2.7,0,5,1,64,0.9,145,2,13,1325,1733,5,8,1,0,0
1487,0,1.5,0,5,1,42,0.8,120,2,7,989,2003,12,3,0,0,0
1864,0,1.4,0,8,1,46,0.7,178,1,12,981,2686,11,18,1,1,0
1827,0,1.7,0,4,1,39,0.5,128,5,16,1020,2844,14,10,1,0,0
1519,0,2.9,0,2,0,30,0.7,112,7,8,1702,2440,9,10,1,1,0
819,1,2.5,1,0,1,11,0.2,83,8,1,822,1094,10,15,0,0,0
1202,1,2.4,1,0,0,19,0.1,122,2,1,1742,595,19,3,0,0,0
1802,1,1.2,1,8,0,27,0.5,116,5,16,963,1885,10,7,1,0,0
1189,1,2.3,0,13,0,8,0.5,198,3,14,932,893,9,13,1,0,0
1776,1,2.1,1,10,0,35,0.1,172,4,16,623,1813,16,20,1,1,0
643,0,1,0,9,1,18,0.2,187,8,12,1079,2648,7,18,1,1,0
1620,1,2.2,1,0,1,30,0.2,185,3,3,1033,606,6,18,0,0,0
1002,0,2.7,1,16,1,11,0.4,185,6,18,512,961,10,19,0,1,0
545,0,0.5,0,0,1,11,0.3,131,3,1,1452,616,15,19,1,1,0
1349,1,2.2,1,5,0,55,0.1,105,7,7,1019,2462,15,17,0,1,0
581,0,0.6,0,5,1,56,0.2,180,2,10,565,354,10,13,1,1,0
852,0,1,1,4,1,62,0.7,104,7,13,1159,2253,17,7,1,0,0
512,1,0.5,1,7,0,15,0.9,83,3,15,1849,2610,18,15,1,1,0
1319,1,0.9,0,3,1,41,0.9,107,1,18,1152,2227,18,3,1,1,0
1944,1,0.5,0,1,1,26,0.5,92,4,9,712,2322,19,7,0,1,0
1273,0,1,0,3,1,48,0.4,99,4,15,886,1767,18,11,1,0,0
1923,0,1,1,5,1,14,0.9,154,4,6,525,2519,13,16,0,1,0
1035,1,1.9,1,8,0,11,1,173,6,10,1709,2002,17,5,1,0,0
592,0,0.8,1,1,0,52,0.9,103,7,10,970,1507,5,4,0,1,0
999,1,1.8,1,0,1,27,0.1,167,4,1,745,1344,17,5,0,0,0
1188,1,1.5,1,0,0,54,0.3,198,6,2,1469,485,12,7,1,0,0
1261,0,0.5,0,3,1,52,0.3,86,2,9,1429,1365,9,16,0,1,0
1862,0,1.5,0,1,0,62,1,182,1,2,1046,1017,11,9,0,0,0
1007,1,2.9,1,5,1,21,0.8,185,8,12,831,1301,8,12,1,0,0
1749,1,0.5,1,7,1,49,0.8,178,1,8,775,2195,5,4,0,1,0
1325,0,1.9,0,2,0,50,0.1,146,1,10,695,2328,17,2,0,0,0
672,0,0.5,0,7,1,35,0.1,99,8,17,1267,1403,16,6,0,0,0
618,1,0.5,1,2,1,57,0.2,88,3,7,896,2399,18,17,1,1,0
704,1,2.7,0,8,1,29,0.2,80,1,10,1509,1122,9,10,1,1,0
1232,0,2.9,1,1,1,24,0.3,169,5,17,809,1257,16,16,0,0,0
705,1,0.5,0,5,1,57,0.9,155,6,9,1374,1509,15,18,1,1,0
1315,1,2.6,0,7,0,64,0.8,128,7,16,575,3278,6,13,0,0,0
1732,1,1.1,0,4,1,12,0.8,119,8,9,881,1308,16,11,0,1,0
1614,0,1.2,0,1,1,9,0.1,161,3,2,1219,1832,15,11,0,0,0
1203,1,0.5,1,0,1,11,0.9,109,2,12,510,1672,17,19,1,0,0
805,1,0.7,0,0,0,64,0.1,97,4,14,704,418,11,17,1,1,0
1632,1,1.4,0,0,0,41,0.1,132,4,1,1623,2614,5,15,0,0,0
667,0,1.3,1,4,1,6,0.1,149,6,10,870,3566,9,12,0,1,0
1280,1,1.3,0,0,1,39,1,108,7,1,588,2335,6,2,0,1,0
987,1,1.9,0,4,1,52,0.5,83,3,8,736,2757,17,15,1,0,0
1965,1,2.6,1,0,0,39,0.2,187,4,3,1965,2032,11,16,1,1,0
1695,1,0.5,1,2,1,47,0.5,189,5,13,1208,1629,8,11,1,0,0
1191,0,2.4,1,2,0,13,0.9,169,1,7,1813,1028,14,8,1,1,0
1044,0,1.8,0,4,1,12,0.7,104,6,5,1263,1794,18,19,1,1,0
1478,1,0.8,1,12,0,48,0.7,99,5,17,882,1141,5,6,0,1,0
1703,1,0.5,0,0,1,22,0.6,192,1,0,1235,1046,5,13,0,1,0
530,0,2.4,0,1,0,32,0.3,88,6,20,1012,959,17,6,1,0,0
561,1,2.8,1,2,1,40,0.1,99,7,6,865,2974,15,19,0,1,0
1284,1,2.8,1,0,0,10,0.9,155,2,14,516,2197,16,9,1,1,0
1414,0,2.6,0,1,0,27,0.6,137,4,20,1564,312,5,8,0,1,0
1162,0,2,0,0,1,56,0.7,114,7,1,997,1652,5,20,0,0,0
1567,0,0.5,1,3,0,22,0.5,119,6,6,1621,2312,9,18,0,0,0
1250,1,1.4,0,8,0,44,0.2,182,7,20,1011,1882,14,14,0,0,0
574,1,2,1,0,1,26,0.5,118,6,2,1364,1303,8,2,0,1,0
527,0,0.7,1,4,0,53,0.9,128,1,11,1924,1302,13,13,0,0,0
1359,1,0.5,1,1,1,58,0.5,107,6,3,901,1076,16,4,1,1,0
1441,0,0.6,1,0,1,53,0.5,106,1,12,954,1393,9,4,1,1,0
574,1,3,0,1,1,30,0.9,126,2,3,1334,1167,5,19,0,0,0
603,0,1.5,0,8,0,12,0.7,114,6,20,1284,1543,7,19,1,0,0
731,1,0.5,1,0,1,28,0.5,130,8,0,1032,1774,12,10,0,0,0
1476,1,1.2,1,0,1,55,0.1,171,4,5,1666,1529,13,3,0,1,0
958,1,1.6,0,9,1,60,0.4,200,1,12,751,1417,10,19,0,1,0
618,1,2.2,1,0,1,63,0.9,138,2,1,1781,2574,14,5,1,0,0
1195,1,2.8,0,1,1,20,0.8,110,2,14,1652,504,9,12,1,0,0
854,0,0.5,0,2,0,30,0.5,125,8,5,1152,2889,5,11,0,1,0
1872,0,0.5,1,3,0,17,0.7,89,6,6,1767,724,17,9,0,1,0
741,0,1.5,0,1,0,14,0.3,178,5,13,594,1886,19,9,1,1,0
1719,1,2.1,1,0,0,52,0.1,187,3,1,520,2610,10,11,1,1,0
1290,1,1.4,1,19,1,35,0.3,110,4,20,742,879,16,8,0,0,0
1596,0,2.9,1,7,0,7,0.7,149,2,9,1190,2493,14,13,1,1,0
1358,0,1.7,0,0,0,60,0.6,147,3,1,1635,440,14,13,0,0,0
1012,0,0.5,1,4,0,39,0.1,161,4,6,1195,2802,8,10,1,0,0
1642,1,1.6,1,0,0,5,0.4,102,5,2,1889,1333,18,2,0,1,0
1454,0,2.6,0,8,0,6,0.4,199,3,20,1018,1300,10,2,0,1,0
1099,0,0.5,0,13,1,61,0.3,146,3,20,1096,1699,17,3,1,1,0
1600,0,0.5,0,1,1,16,0.3,94,4,16,1710,2073,9,4,1,0,0
1779,1,2.6,1,2,0,5,0.8,90,1,3,1717,1246,12,20,1,0,0
1178,0,2.2,1,6,0,57,0.3,84,3,17,1352,2492,16,10,1,0,0
1483,1,2.6,1,13,0,19,0.6,146,7,19,1552,1587,9,19,0,0,0
1973,1,0.5,1,3,0,21,0.8,95,8,7,507,1724,12,8,0,1,0
1832,0,0.7,0,2,0,2,0.6,90,7,6,654,2978,18,18,0,0,0
1744,0,2.8,0,0,1,62,0.7,158,1,0,1558,345,10,14,0,0,0
713,1,1.6,0,7,1,2,0.4,181,8,9,1378,485,10,4,1,1,0
1189,1,1.9,0,5,0,7,0.5,164,2,20,615,841,13,11,1,0,0
1660,0,2.8,1,4,0,7,0.8,184,1,6,1165,1531,12,7,0,0,0
1009,1,2.8,1,7,1,2,0.6,115,7,15,1841,2286,19,13,0,0,0
1072,1,2.2,1,6,0,19,0.4,114,8,16,877,2715,15,16,1,0,0
1656,1,0.5,1,8,1,38,0.1,105,7,17,519,1499,12,19,0,1,0
696,1,2.4,0,11,1,35,0.2,103,3,13,797,2022,14,4,0,1,0
507,1,1.9,1,0,1,39,0.7,142,1,0,1084,2124,6,12,1,0,0
1361,1,1.4,0,1,0,47,1,169,5,2,1382,2495,8,16,0,1,0
1236,1,2.8,0,6,1,32,0.3,143,4,18,1403,942,16,14,1,1,0
640,0,1.3,1,5,1,6,0.6,143,8,20,1353,2711,15,8,1,0,0
987,0,2,1,1,0,20,0.8,192,7,3,565,1454,11,8,1,0,0
1462,1,1.7,1,1,0,25,0.2,182,7,18,1478,824,15,13,0,1,0
1445,1,0.5,0,0,0,53,0.7,174,7,14,836,1099,17,20,0,0,0
843,0,1.3,1,1,0,16,0.9,119,7,4,732,1734,17,14,0,1,0
1006,0,2.2,1,4,1,22,0.8,135,4,8,991,909,18,7,0,1,0
625,1,1.9,0,12,1,33,0.2,191,1,20,550,3801,10,2,0,0,0
1489,0,2.4,1,8,0,32,0.6,200,1,16,812,776,7,8,0,0,0
763,0,1.7,1,8,1,2,0.5,92,8,14,1186,1050,6,8,1,0,0
837,0,2.4,1,1,0,51,0.2,104,5,15,1831,594,16,20,0,1,0
601,1,1.4,0,4,1,4,0.1,154,4,13,765,532,12,10,1,1,0
635,1,0.6,1,1,1,50,0.3,97,5,13,989,2107,13,12,0,0,0
1698,0,2.5,0,10,1,26,0.4,105,2,18,1819,1656,5,17,0,1,0
1142,1,1.1,0,0,1,6,0.5,198,4,0,1766,1273,19,6,0,0,0
1063,0,1.5,0,7,0,3,0.9,155,4,10,849,1919,12,20,1,0,0
1807,1,2.1,0,2,0,49,0.8,125,1,10,1384,1906,17,13,1,1,0
555,1,3,1,5,1,38,0.8,193,2,10,1970,1686,8,8,0,1,0
1251,0,0.5,1,10,1,29,0.7,133,6,16,591,1052,11,11,0,0,0
1349,1,2.1,1,3,0,46,0.9,134,6,12,623,2367,11,10,0,1,0
1998,1,1.2,0,8,0,31,0.6,196,8,19,1356,2311,17,18,1,0,0
1110,0,1.5,0,4,1,41,0.1,152,3,16,1455,2572,16,16,0,1,0
557,0,0.5,1,3,0,17,0.2,89,6,4,710,2623,17,16,0,0,0
1624,0,1.6,1,8,0,28,0.4,150,2,10,699,2473,16,2,0,0,0
636,0,0.5,0,8,1,28,0.9,152,2,15,742,2927,15,3,0,0,0
668,0,2.3,0,2,1,48,0.3,114,1,19,1292,1201,14,4,1,0,0
1576,1,2,0,0,1,20,0.6,148,3,0,1551,1379,17,16,0,1,0
1150,1,2.7,0,0,0,39,0.4,151,8,1,800,999,6,11,1,0,0
1547,0,2.9,1,6,0,45,0.7,166,2,8,590,505,12,3,1,1,0
1286,1,2.3,0,10,1,16,0.1,98,2,18,662,424,10,4,1,0,0
1587,1,0.5,0,0,0,50,0.9,148,8,15,874,461,17,4,0,1,0
1442,0,2.2,0,0,1,56,0.7,145,5,3,1668,1513,11,7,1,0,0
796,0,0.5,0,2,0,12,0.5,114,1,8,518,1075,7,2,1,0,0
1454,0,1.4,1,8,0,37,0.8,80,8,20,910,1713,16,19,0,0,0
986,1,0.8,0,13,1,28,0.8,182,4,20,679,1149,8,18,1,0,0
1114,0,2.8,0,4,1,9,0.4,197,3,15,1071,907,10,17,1,0,0
1191,0,1.3,1,16,1,26,0.8,84,1,20,683,1604,14,9,0,1,0
1271,1,0.5,0,12,0,32,0.1,113,7,15,1949,445,15,14,0,1,0
821,0,1.8,1,5,0,54,0.1,109,3,9,1786,3185,8,15,0,0,0
618,0,2.1,0,2,0,6,0.3,86,1,4,1688,1051,13,15,0,1,0
912,1,2.8,1,6,1,46,0.4,84,4,11,1310,851,8,4,1,1,0
1068,0,2,1,1,1,37,0.9,184,7,13,1998,1803,5,7,0,0,0
544,1,0.5,1,2,1,7,0.2,129,5,15,610,1675,13,17,1,0,0
713,0,0.9,1,0,0,42,0.1,94,1,14,1123,928,12,9,0,1,0
1602,0,1.6,1,0,1,35,0.1,99,7,7,1800,1829,18,13,0,0,0
702,0,2.6,1,2,1,9,0.7,141,3,3,1570,2955,10,19,0,0,0
973,0,0.5,1,5,0,53,0.5,196,5,7,588,1861,13,16,1,0,0
797,0,2.2,1,0,0,37,0.9,144,7,2,1167,2216,9,6,0,0,0
880,0,2,1,1,1,50,0.5,194,7,3,1381,827,15,6,0,1,0
1719,1,2,0,0,0,12,0.3,122,8,7,904,462,6,5,0,0,0
848,1,1.5,1,4,1,36,0.3,151,4,16,527,2289,10,19,1,1,0
1712,1,0.9,1,2,0,23,1,155,7,19,663,1422,5,15,1,0,0
645,0,2.5,0,10,1,63,1,174,4,14,584,3615,18,13,0,1,0
1110,0,0.6,0,1,0,42,0.9,192,5,2,1262,456,12,18,1,0,0
534,0,0.5,1,4,0,2,0.2,85,5,16,1220,2466,5,18,1,1,0
1897,1,1.9,0,2,1,54,0.3,154,2,7,738,412,17,2,0,0,0
1531,0,2,0,0,1,60,0.4,162,6,1,765,2524,13,7,0,0,0
909,1,1.4,0,0,0,53,0.3,82,8,0,973,3187,12,4,0,0,0
659,0,0.5,1,7,1,5,0.3,169,8,10,730,2190,16,16,1,0,0
826,0,0.5,1,0,1,57,0.5,135,2,0,530,323,17,7,0,1,0
1312,0,0.5,1,0,1,28,0.8,163,2,0,1854,1087,17,14,0,0,0
1225,1,2.4,0,0,0,15,0.1,155,5,0,982,1970,16,15,1,0,0
1271,0,1.5,1,0,0,2,0.9,161,1,1,1788,892,15,20,1,0,0
728,0,2.3,1,4,0,23,0.8,111,4,5,817,457,17,16,1,1,0
1772,1,0.5,1,3,0,64,0.7,116,8,15,545,1834,5,20,1,1,0
1439,0,0.9,0,12,1,20,0.8,147,1,17,932,1790,19,15,0,1,0
1234,0,1.7,1,8,0,17,0.9,174,6,15,725,3351,12,19,0,1,0
1193,1,3,0,10,0,56,0.4,196,3,17,864,2394,19,14,1,0,0
1084,1,2.6,0,3,1,40,0.9,107,3,11,771,1945,15,10,1,0,0
1640,1,0.7,0,10,1,21,0.8,169,7,14,1301,337,16,5,1,0,0
1281,1,2.3,1,0,0,28,0.3,148,1,6,1617,1129,12,6,1,0,0
1092,1,0.5,1,10,0,11,0.5,167,3,14,571,737,14,11,1,0,0
1448,0,0.5,1,18,0,2,0.2,100,5,19,1144,593,9,18,1,1,0
1217,1,0.5,0,3,0,17,0.5,182,4,13,632,1711,7,9,0,1,0
644,1,2.7,0,0,0,22,0.7,157,8,3,881,1262,12,15,0,0,0
851,0,0.5,0,3,0,21,0.4,200,5,7,1263,478,12,10,0,1,0
862,1,0.8,1,3,0,23,0.4,165,2,15,1758,278,16,11,0,1,0
1996,1,2.8,1,0,1,7,0.1,138,5,4,1083,1258,17,16,0,0,0
1002,0,0.8,1,0,1,35,0.5,83,2,4,1416,1726,16,19,0,1,0
1175,0,0.6,0,10,0,25,0.1,145,2,12,1501,3153,9,12,0,0,0
709,1,2,1,0,0,35,0.1,136,1,0,1596,1973,12,16,1,1,0
1147,0,0.8,1,11,0,28,0.7,158,6,13,1134,2627,18,15,0,1,0
912,0,0.7,0,3,0,47,0.9,182,3,6,794,1321,7,6,1,1,0
920,0,2.1,1,5,0,25,0.4,115,7,14,1078,785,10,5,1,1,0
559,1,0.5,0,10,0,11,0.4,82,5,14,823,2019,10,16,1,1,0
848,1,2.1,1,10,1,19,0.8,148,7,18,1029,3359,10,14,0,0,0
915,1,0.5,1,9,1,33,0.3,199,2,16,986,2156,7,13,1,0,0
1142,1,1.4,1,6,0,6,0.7,190,8,8,855,663,12,5,1,1,0
1595,0,1.9,1,1,0,63,0.9,88,1,20,1988,908,18,6,0,1,0
1450,0,2.1,0,1,0,31,0.6,114,5,4,1639,794,11,9,1,1,0
1671,0,0.6,1,7,1,61,0.1,129,2,11,848,2336,10,7,0,0,0
1539,1,2.6,0,0,0,41,0.1,159,8,0,1666,2107,15,10,0,1,0
1219,0,1.6,1,5,0,4,0.3,169,6,7,1698,1998,9,4,0,0,0
1994,1,0.7,0,5,0,5,0.4,189,2,7,1546,1836,12,18,0,0,0
